date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday,visitor,difficulty_mean,difficulty_std
2022-11-18,189,16984,Guerre de Succession d'Autriche,6.0,24.0,13.0,89.0,False,,0.7343603438649832,0.09113977136595103
2022-11-19,190,13098,École normale supérieure (Paris),0.0,21.0,12.0,70.0,False,,0.7302328116392315,0.1114273897574645
2022-11-20,191,15167,Arsenic,0.0,20.0,11.0,79.0,False,,0.785183243843969,0.1300258316791265
2022-11-21,192,16347,Acide borique,8.0,27.0,11.0,62.0,False,,0.6618905189413615,0.10801037043445612
2022-11-22,193,15760,Nébuleuse planétaire,7.0,24.0,13.0,66.0,False,,0.6284828976909473,0.0753777574090803
2022-11-23,194,16635,Bételgeuse,5.0,28.0,12.0,64.0,False,,0.6992848804303371,0.07867288178153573
2022-11-24,195,17614,Allah,7.0,22.0,12.0,57.0,False,,0.7098180151185879,0.0876651083262107
2022-11-25,196,17844,Québec,7.0,22.0,10.0,65.0,False,,0.7575920422822571,0.10565031836077317
2022-11-26,197,9811,Langues chamito-sémitiques,4.0,20.0,9.0,71.0,False,,0.5629003891080651,0.07218094550329227
2022-11-27,198,14812,Francs,0.0,17.0,7.0,59.0,False,,0.7959923292239257,0.11990258820580081
2022-11-28,199,14648,Syllabe,9.0,27.0,15.0,71.0,False,,0.5824147157906032,0.06678167738385873
2022-11-29,200,15474,Sorcellerie,0.0,28.0,13.0,86.0,False,,0.6166473406833323,0.07830907048931722
2022-11-30,201,17557,Guerres arabo-byzantines,4.0,27.0,9.0,63.0,False,,0.6866462296997844,0.13181856921268195
2022-12-01,202,15876,Végétarisme,11.0,23.0,13.0,72.0,False,,0.6572981514537419,0.08442959926329105
2022-12-02,203,14686,Philosophie antique,9.0,26.0,8.0,62.0,False,,0.6423448186491052,0.06343445915829356
2022-12-03,204,12386,Girafe,0.0,16.0,0.0,60.0,False,,0.7017345746426212,0.11897653090337328
2022-12-04,205,15768,Château de Versailles,0.0,17.0,7.0,70.0,False,,0.804740261560463,0.1270116772142666
2022-12-05,206,16995,Bison d'Europe,5.0,24.0,14.0,72.0,False,,0.6382934157539955,0.11708244984872572
2022-12-06,207,18697,Rat,8.0,27.0,13.0,58.0,False,,0.740786587238312,0.10291095265897371
2022-12-07,208,15733,Respiration,11.0,23.0,11.0,61.0,False,,0.6392870236143928,0.08590048302388179
2022-12-08,209,10696,Euphorbia pulcherrima,9.0,27.0,9.0,61.0,False,,0.43741994445016746,0.05496873519262662
2022-12-09,210,16810,Conflit nord-irlandais,7.0,26.0,8.0,60.0,False,,0.7083553181550681,0.08495267999178077
2022-12-10,211,10560,Athlétisme,0.0,19.0,7.0,71.0,False,,0.6085844970487085,0.0727661802622496
2022-12-11,212,13827,Pandémie de Covid-19,0.0,16.0,13.0,67.0,False,,0.7291940004542794,0.09676903100315341
2022-12-12,213,11256,Socialisation,11.0,30.0,10.0,61.0,False,,0.46219901392627744,0.05075080535937482
