date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday
2023-01-22,254,14082,Alpes scandinaves,6.0,18.0,14.0,80.0,False
2023-01-23,255,17528,Duel,6.0,27.0,14.0,77.0,False
2023-01-24,256,14977,Prisme (optique),10.0,28.0,10.0,58.0,False
2023-01-25,257,19573,Cubisme,7.0,23.0,12.0,80.0,False
2023-01-26,258,18846,Seconde guerre des Boers,8.0,20.0,11.0,58.0,False
2023-01-27,259,15389,Macao,11.0,25.0,10.0,65.0,False
2023-01-28,260,12297,Bisexualité,0.0,22.0,4.0,56.0,False
2023-01-29,261,14261,Kayak,0.0,19.0,7.0,62.0,False
2023-01-30,262,19371,Duché de Bourgogne,9.0,26.0,12.0,57.0,False
2023-01-31,263,17317,Taj Mahal,6.0,22.0,13.0,75.0,False
2023-02-01,264,16729,Art brut,8.0,26.0,11.0,64.0,False
2023-02-02,265,18897,Tamoul,8.0,28.0,6.0,69.0,False
2023-02-03,266,17781,Somalie,12.0,25.0,12.0,66.0,False
2023-02-04,267,13162,Léopard,6.0,22.0,9.0,60.0,True
2023-02-05,268,14218,Musique country,0.0,20.0,8.0,75.0,True
2023-02-06,269,16070,Calmar,8.0,26.0,11.0,64.0,True
2023-02-07,270,15530,Eugène de Savoie-Carignan,8.0,28.0,11.0,66.0,True
2023-02-08,271,15582,Opium,12.0,30.0,14.0,73.0,True
2023-02-09,272,20320,Fluor,11.0,25.0,13.0,62.0,True
2023-02-10,273,14835,Chronologie,9.0,23.0,13.0,61.0,True
2023-02-11,274,14033,Biélorussie,5.0,19.0,12.0,75.0,True
2023-02-12,275,15812,Formule 1,0.0,22.0,11.0,76.0,True
2023-02-13,276,16813,Génocide arménien,10.0,29.0,10.0,61.0,True
2023-02-14,277,10904,Séisme du 1er novembre 1755 à Lisbonne,7.0,28.0,10.0,60.0,True
2023-02-15,278,14086,Résistance (composant),10.0,28.0,15.0,78.0,True
2023-02-16,279,14849,Anoures,10.0,27.0,9.0,58.0,True
2023-02-17,280,13529,Force de Coriolis,9.0,30.0,13.0,65.0,True
2023-02-18,281,8995,Déterminisme,7.0,23.0,7.0,63.0,True
2023-02-19,282,2530,Môle (poisson),0.0,16.0,7.0,58.0,True
2023-02-20,283,7959,Guerre du Biafra,8.0,24.0,13.0,71.0,True
2023-02-21,284,12405,Rugby à XIII,8.0,26.0,9.0,57.0,True
2023-02-22,285,17233,Ienisseï,8.0,24.0,10.0,69.0,True
2023-02-23,286,16046,Raj britannique,7.0,24.0,13.0,67.0,True
2023-02-24,287,14848,Psychanalyse,8.0,23.0,8.0,59.0,True
2023-02-25,288,13999,Libye,0.0,22.0,5.0,53.0,True
2023-02-26,289,15244,Slaves,5.0,22.0,6.0,49.0,True
2023-02-27,290,17061,Sismologie,7.0,28.0,11.0,66.0,True
2023-02-28,291,15614,Menthe,9.0,30.0,15.0,64.0,True
2023-03-01,292,19075,Mario (personnage),9.0,26.0,12.0,65.0,True
2023-03-02,293,19825,Mékong,6.0,21.0,10.0,68.0,True
2023-03-03,294,13814,Trochilidae,11.0,26.0,16.0,77.0,True
2023-03-04,295,14066,Namibie,0.0,17.0,6.0,57.0,True
2023-03-05,296,14446,Dodo (oiseau),9.0,17.0,9.0,77.0,True
2023-03-06,297,14613,Stratigraphie,8.0,31.0,11.0,60.0,True
2023-03-07,298,17961,Trinité (christianisme),8.0,25.0,11.0,52.0,False
2023-03-08,299,16096,Bertrand Russell,10.0,27.0,13.0,72.0,False
2023-03-09,300,19450,Sept Merveilles du monde,7.0,27.0,12.0,76.0,False
2023-03-10,301,14808,Conscription,8.0,23.0,12.0,77.0,False
2023-03-11,302,12898,Kazakhstan,5.0,18.0,7.0,65.0,False
2023-03-12,303,14255,Navajos,5.0,19.0,7.0,69.0,False
2023-03-13,304,18986,Iode,6.0,23.0,10.0,59.0,False
2023-03-14,305,17637,Relativité générale,9.0,26.0,10.0,70.0,False
2023-03-15,306,16618,Antananarivo,7.0,22.0,12.0,72.0,False
2023-03-16,307,16916,Galaxie du Triangle,6.0,27.0,14.0,59.0,False
